relative_path,html_url,path,commit_id,line,bug_type,priority,comment_or_not,token,proxy
WrenchDressing/UltimateGoal/5/report.json,https://github.com/WrenchDressing/UltimateGoal/pull/5/files,TeamCode/src/main/java/org/firstinspires/ftc/teamcode/BestSTATEAutoEver.java,90e3fbdaa1a2ec540ad7caaa6d0a88999d2dfe04,879,ES_COMPARING_STRINGS_WITH_EQ,2,TRUE,,
WrenchDressing/UltimateGoal/5/report.json,https://github.com/WrenchDressing/UltimateGoal/pull/5/files,TeamCode/src/main/java/org/firstinspires/ftc/teamcode/BestSTATEAutoEver.java,90e3fbdaa1a2ec540ad7caaa6d0a88999d2dfe04,881,ES_COMPARING_STRINGS_WITH_EQ,2,FALSE,,
WrenchDressing/UltimateGoal/5/report.json,https://github.com/WrenchDressing/UltimateGoal/pull/5/files,TeamCode/src/main/java/org/firstinspires/ftc/teamcode/BestSTATEAutoEver.java,90e3fbdaa1a2ec540ad7caaa6d0a88999d2dfe04,379,NM_METHOD_NAMING_CONVENTION,3,TRUE,,
WrenchDressing/UltimateGoal/5/report.json,https://github.com/WrenchDressing/UltimateGoal/pull/5/files,TeamCode/src/main/java/org/firstinspires/ftc/teamcode/BestSTATEAutoEver.java,90e3fbdaa1a2ec540ad7caaa6d0a88999d2dfe04,395,NM_METHOD_NAMING_CONVENTION,3,FALSE,,
WrenchDressing/UltimateGoal/5/report.json,https://github.com/WrenchDressing/UltimateGoal/pull/5/files,TeamCode/src/main/java/org/firstinspires/ftc/teamcode/BestSTATEAutoEver.java,90e3fbdaa1a2ec540ad7caaa6d0a88999d2dfe04,400,NM_METHOD_NAMING_CONVENTION,3,FALSE,,
WrenchDressing/UltimateGoal/5/report.json,https://github.com/WrenchDressing/UltimateGoal/pull/5/files,TeamCode/src/main/java/org/firstinspires/ftc/teamcode/BestSTATEAutoEver.java,90e3fbdaa1a2ec540ad7caaa6d0a88999d2dfe04,441,NM_METHOD_NAMING_CONVENTION,3,FALSE,,
WrenchDressing/UltimateGoal/5/report.json,https://github.com/WrenchDressing/UltimateGoal/pull/5/files,TeamCode/src/main/java/org/firstinspires/ftc/teamcode/BestSTATEAutoEver.java,90e3fbdaa1a2ec540ad7caaa6d0a88999d2dfe04,494,NM_METHOD_NAMING_CONVENTION,3,FALSE,,
WrenchDressing/UltimateGoal/5/report.json,https://github.com/WrenchDressing/UltimateGoal/pull/5/files,TeamCode/src/main/java/org/firstinspires/ftc/teamcode/BestSTATEAutoEver.java,90e3fbdaa1a2ec540ad7caaa6d0a88999d2dfe04,574,NM_METHOD_NAMING_CONVENTION,3,FALSE,,
WrenchDressing/UltimateGoal/5/report.json,https://github.com/WrenchDressing/UltimateGoal/pull/5/files,TeamCode/src/main/java/org/firstinspires/ftc/teamcode/BestSTATEAutoEver.java,90e3fbdaa1a2ec540ad7caaa6d0a88999d2dfe04,597,NM_METHOD_NAMING_CONVENTION,3,FALSE,,
WrenchDressing/UltimateGoal/5/report.json,https://github.com/WrenchDressing/UltimateGoal/pull/5/files,TeamCode/src/main/java/org/firstinspires/ftc/teamcode/BestSTATEAutoEver.java,90e3fbdaa1a2ec540ad7caaa6d0a88999d2dfe04,612,NM_METHOD_NAMING_CONVENTION,3,FALSE,,
WrenchDressing/UltimateGoal/5/report.json,https://github.com/WrenchDressing/UltimateGoal/pull/5/files,TeamCode/src/main/java/org/firstinspires/ftc/teamcode/BestSTATEAutoEver.java,90e3fbdaa1a2ec540ad7caaa6d0a88999d2dfe04,733,NM_METHOD_NAMING_CONVENTION,3,FALSE,,
WrenchDressing/UltimateGoal/5/report.json,https://github.com/WrenchDressing/UltimateGoal/pull/5/files,TeamCode/src/main/java/org/firstinspires/ftc/teamcode/BestSTATEAutoEver.java,90e3fbdaa1a2ec540ad7caaa6d0a88999d2dfe04,914,NM_METHOD_NAMING_CONVENTION,3,FALSE,,
WrenchDressing/UltimateGoal/5/report.json,https://github.com/WrenchDressing/UltimateGoal/pull/5/files,TeamCode/src/main/java/org/firstinspires/ftc/teamcode/BestSTATEAutoEver.java,90e3fbdaa1a2ec540ad7caaa6d0a88999d2dfe04,950,NM_METHOD_NAMING_CONVENTION,3,FALSE,,
WrenchDressing/UltimateGoal/5/report.json,https://github.com/WrenchDressing/UltimateGoal/pull/5/files,TeamCode/src/main/java/org/firstinspires/ftc/teamcode/BestSTATEAutoEver.java,90e3fbdaa1a2ec540ad7caaa6d0a88999d2dfe04,1045,NM_METHOD_NAMING_CONVENTION,3,FALSE,,
